ZIP;NAME;TYPE;A0_NAME;A1_NAME;A2_NAME;A3_NAME;A4_NAME;A5_NAME;A6_NAME;A7_NAME;A8_NAME;X_COORDINATE;Y_COORDINATE;SERVICE_HOURS;TEMP_SERVICE_HOURS;TEMP_SERVICE_HOURS_UNTIL;TEMP_SERVICE_HOURS_2;TEMP_SERVICE_HOURS_2_UNTIL;comment_est;comment_eng;comment_rus;comment_lav;comment_lit;MODIFIED
96124;"Viimsi Pärnamäe Rimi pakiautomaat";0;EE;"Harju maakond";"Viimsi vald";Laiaküla;;"Lilleoru tee";;4;;24.905806;59.462520;;;;;;;;;;;2020-12-23T07:20:36.100+02:00
96209;"Viimsi Rimi pakiautomaat";0;EE;"Harju maakond";"Viimsi vald";"Haabneeme alevik";;"Randvere tee";;9;;24.828047;59.505763;;;;;;;;;;;2020-12-21T12:30:46.177+02:00
74094;"Viimsi postkontor";1;EE;"Harju maakond";"Viimsi vald";"Haabneeme alevik";;"Paadi tee";;3;;24.826322;59.503662;"E,T,K,N,R 10:00-19:00 L,P SULETUD;Ligipääs ratastooliga";;;;;;;;;;2020-12-05T12:25:16.030+02:00
12996;"Vilde postipunkt";1;EE;"Harju maakond";Tallinn;"Mustamäe linnaosa";;"E. Vilde tee";;73;;24.686509;59.402265;"E,T,K,N,R 13:00-15:00 L,P SULETUD";;;;;;;;;;2020-12-18T10:56:48.893+02:00
96032;"Viljandi Bussijaama pakiautomaat";0;EE;"Viljandi maakond";"Viljandi linn";;;"Ilmarise tn";;1;;25.598869;58.369196;;;;;;;;;;;2021-01-14T06:36:57.563+02:00
96070;"Viljandi Coop Maksimarketi pakiautomaat";0;EE;"Viljandi maakond";"Viljandi linn";;;"Lääne tn";;2;;25.583164;58.370653;;;;;;;;;;;2020-12-22T09:25:58.447+02:00
96063;"Viljandi Männimäe Selveri pakiautomaat";0;EE;"Viljandi maakond";"Viljandi linn";;;"Riia mnt";;35;;25.584300;58.352996;;;;;;;;;;;2020-12-21T12:36:14.123+02:00
96313;"Viljandi Tallinna 60 Maxima X pakiautomaat";0;EE;"Viljandi maakond";"Viljandi linn";;;"Tallinna tn";;60;;25.598462;58.376676;;;;;;;;;;;2020-11-11T08:39:39.550+02:00
96312;"Viljandi Vaksali Maxima X pakiautomaat";0;EE;"Viljandi maakond";"Viljandi linn";;;"Vaksali tn";;11b;;25.582631;58.361816;;;;;;;;;;;2020-06-30T12:37:21.527+03:00
71098;"Viljandi postkontor";1;EE;"Viljandi maakond";"Viljandi linn";;;"Tallinna tn";;41;;25.597390;58.369826;"Kuni 03.01.2021: E,T,K,N,R 10:00-19:00;Alates 04.01.2021: E,T,K,N,R 09:00-18:00;L,P SULETUD;Ligipääs ratastooliga";;;;;;;;;;2020-12-08T12:25:06.673+02:00
55547;"Vilkaviškio IKI Vytauto paštomatas";0;LT;"Marijampolės apskr.";"Vilkaviškio r. sav.";"Vilkaviškio m.";;"Vytauto g.";;101;;23.032291;54.648337;;;;;;;;;;"Paštomatą rasite lauke prie sienos, kairėje įėjimo į parduotuvę pusėje";2021-01-15T12:03:01.397+02:00
88835;"Vilkaviškio NORFA Nepriklausomybės paštomatas";0;LT;"Marijampolės apskr.";"Vilkaviškio r. sav.";"Vilkaviškio m.";;"Nepriklausomybės g.";;61;;23.030156;54.658581;;;;;;;;;;"Paštomatą rasite lauke prie sienos, dešinėje įėjimo į parduotuvę pusėje";2021-01-15T12:04:06.420+02:00
55548;"Vilkijos AIBĖ paštomatas";0;LT;"Kauno apskr.";"Kauno r. sav.";"Vilkijos m.";;"Kauno g.";;51;;23.591206;55.040367;;;;;;;;;;"Paštomatą rasite lauke prie sienos, kairėje įėjimo į parduotuvę pusėje";2020-12-27T12:26:53.027+02:00
77784;"Vilniaus 3 BURĖS PARKINGAS Krokuvos paštomatas";0;LT;"Vilniaus apskr.";"Vilniaus m. sav.";"Vilniaus m.";;"Lvovo g.";;25;;25.279793;54.697507;;;;;;;;;;"Paštomatą rasite lauke prie VC 3 BURĖS antžeminio parkavimo aikštelės </br> pastato iš Krokuvos g. pusės";2020-12-27T19:22:52.597+02:00
77754;"Vilniaus Avižienių MAXIMA paštomatas";0;LT;"Vilniaus apskr.";"Vilniaus r. sav.";"Užubalių k.";;"Saulės g.";;1;;25.193652;54.763884;;;;;;;;;;"Paštomatą rasite lauke prie sienos, dešinėje įėjimo į parduotuvę pusėje";2020-12-29T08:35:56.140+02:00
77755;"Vilniaus Balsių MAXIMA paštomatas";0;LT;"Vilniaus apskr.";"Vilniaus m. sav.";"Vilniaus m.";;"Žaliųjų Ežerų g.";;207;;25.348863;54.800556;;;;;;;;;;"Paštomatą rasite lauke prie sienos, dešinėje įėjimo į parduotuvę pusėje";2020-12-27T19:33:39.710+02:00
88871;"Vilniaus CUP paštomatas";0;LT;"Vilniaus apskr.";"Vilniaus m. sav.";"Vilniaus m.";;"Upės g.";;9;;25.276537;54.694023;;;;;;;;;;"Paštomatą rasite kairėje 3-ojo aukšto įėjimo pusėje, šalia automobilių stovėjimo </br>  aikštelės";2020-12-27T08:30:00.163+02:00
77778;"Vilniaus EMSI Pajautos paštomatas";0;LT;"Vilniaus apskr.";"Vilniaus m. sav.";"Vilniaus m.";;"Pajautos g.";;31;;25.162037;54.710143;;;;;;;;;;"Paštomatą rasite lauke prie šoninės sienos, dešinėje įėjimo į degalinę pusėje, už kampo";2020-12-27T20:14:26.433+02:00
